MEDICIN_ID,medicin_name,MANUFACTURER
76149,Glimepiride,Accord Healthcare Inc
34073,Lidocaine Hydrochloride,Aidarex Pharmaceuticals LLC
14089,DILTIAZEM HYDROCHLORIDE,Apotex Corp.
58235,up and up cold flu relief,Target Corporation
71863,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,philosophy
88262,CLONIDINE,STAT RX USA LLC
29415,EZ-OX,Air Liquide Healthcare America Corporation
86627,ENTOCORT,AstraZeneca LP
76722,One Seed Juniper,"Nelco Laboratories, Inc."
51462,COLAZAL,Cardinal Health
72053,Coppertone Clearly Sheer For Sunny Days,"MSD Consumer Care, Inc."
30496,Cover Fx Blemish Treatment Concealer N Light,"Cover FX Skin Care, Inc."
78204,Ontak,Eisai Inc.
29730,MERCURIUS SOLUBILIS,Remedy Makers
63477,Pleo Ut,Sanum Kehlbeck GmbH & Co. KG
57793,Regional Allergies Rocky Mtns. U.S.,King Bio Inc.
67478,Gentamicin,"General Injectables & Vaccines, Inc"
48401,diltiazem hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC"
27144,Oxygen,"Red Ball Oxygen Co., Inc."
17025,Zoledronic acid,Heritage Pharmaceuticals Inc.
98732,Roll-On Antiperspirant,SHAKLEE CORPORATION
99396,DG ATHLETES FOOT,"TAI GUK PHARM. CO., LTD."
99648,FRAICHEUR CHEVREFEUILLE ANTIPERSPIRANT AND DEODORANT ROLL-ON,Yves Rocher North America Inc. DBA Laboratoire de biologie vegetal Yves Rocher
87647,IOPE BRIGHTGEN,AMOREPACIFIC
49604,EB302 ARTHRITIS RELIEF,EMINENCE BIOTECH CORPORATION LIMITED
28854,Venapro,Pacific Naturals
80570,VESIcare,Cardinal Health
15109,One Seed Juniper,"Nelco Laboratories, Inc."
96332,meloxicam,"PD-Rx Pharmaceuticals, Inc."
84096,Ciprofloxacin,State of Florida DOH Central Pharmacy
30229,HYLASE Wound,"ECR Pharmaceuticals Co., Inc."
16745,ALL DAY RELIEF,Meijer Distribution Inc
58316,LEADER LUBRICATING EYE DROPS,"HANLIM PHARM. CO., LTD."
51757,ANTIBACTERIAL FOAMING,DZA BRANDS LLC
76859,Epinastine Hydrochloride,"Breckenridge Pharmaceutical, Inc."
40487,Alprazolam,Aidarex Pharmaceuticals LLC
33915,UltrasolSunscreen,Fischer Pharmaceuticals Ltd
66893,TAZORAC,"Allergan, Inc."
73977,Stomach Tincture,Synergy Formulas
77782,Moisturizing Antibacterial,Swinton Avenue Trading Ltd.Inc.
10809,CELEBREX,Unit Dose Services
16209,Acid Reducer,Publix Super Markets Inc
51440,Nifedipine,"Aphena Pharma Solutions - Tennessee, LLC"
85944,Anti-Bacterial Hand,"Bath & Body Works, Inc."
65146,GaviLyte - C,"GAVIS Pharmaceuticals, LLC"
23742,LBEL EFFET PARFAIT filling effect foundation SPF 10 - OBSCURE 9,Ventura Corporation LTD.
83805,Diazepam,"PD-Rx Pharmaceuticals, Inc."
60130,Sheer Cover Pressed Mineral Foundation,Guthy-Renker LLC
28992,healthy accents stomach relief,DZA Brands LLC
55420,Attention Plus,Liddell Laboratories
41658,Day Relief Night Relief Free,Western Family Foods Inc
82710,Klor-Con,"Upsher-Smith Laboratories, Inc."
36163,ORAL-DENT,International Cosmetic Limited
47188,Duloxetine,"Trigen Laboratories, LLC"
54692,BC Arthritis,Medtech Products Inc.
52413,FLOVENT,GlaxoSmithKline LLC
89067,DARIEN,Ventura Corporation LTD.
24852,Bromfed,Clinical Solutions Wholesale
21305,Bisoprolol Fumarate and Hydrochlorothiazide,Mylan Pharmaceuticals Inc.
10529,Risperidone,Apotex Corp
67154,Cetirizine Hydrochloride,Torrent Pharmaceuticals Limited
74864,equate enema,Wal-Mart Stores Inc
53617,Imipramine Hydrochloride,Sandoz Inc
24131,Promethazine Hydrochloride,REMEDYREPACK INC.
21934,Oral hCG Activator,"ABCO Laboratories, Inc."
91576,Diazepam,"Blenheim Pharmacal, Inc."
89017,Lovastatin,Aidarex Pharmaceuticals LLC
85524,Promethazine VC,Qualitest Pharmaceuticals
38262,Head and Shoulders,ALL NATURAL DYNAMICS
72091,Acetaminophen And Codeine,Contract Pharmacy Services-PA
86203,divalproex sodium,Dr. Reddy's Laboratories Ltd
38632,ropinirole hydrochloride,Zydus Pharmaceuticals (USA) Inc.
21052,prenate mini,"Avion Pharmaceuticals, LLC"
51123,Namenda,"Forest Laboratories, Inc."
12258,Oxycodone Hydrochloride,"Amneal Pharmaceuticals of New York, LLC"
46124,OTEZLA,Celgene Corporation
26200,SurfersSkin Sunscreen Zinc,"Skin Alive, Ltd."
40859,Pyrazinamide,REMEDYREPACK INC.
75686,HYDROMORPHONE HYDROCHLORIDE,STAT Rx USA LLC
80327,SINGULAIR,"PD-Rx Pharmaceuticals, Inc."
58801,Ultracare For Hands,Coltene Whaledent Inc
